,day,price
0,1,10.30
1,2,10.30
2,3,10.30
3,4,10.30
4,5,10.30
5,6,10.30
6,7,10.30
7,8,10.30
8,9,10.30
9,10,10.30
10,11,10.30
11,12,10.30
12,13,10.30
13,14,10.30
14,15,10.30
15,16,10.30
16,17,10.30
17,18,10.30
18,19,10.30
19,20,10.30
20,21,10.30
21,22,10.30
22,23,10.30
23,24,10.30
24,25,10.30
25,26,10.30
26,27,10.30
27,28,10.30
28,29,10.30
29,30,10.30
30,31,10.30
31,32,10.30
32,33,10.30
33,34,10.30
34,35,10.30
35,36,10.30
36,37,10.30
37,38,10.30
38,39,10.30
39,40,10.30
40,41,10.30
41,42,10.30
42,43,10.30
43,44,10.30
44,45,10.30
45,46,10.30
46,47,10.30
47,48,10.30
48,49,10.30
49,50,10.30
50,51,10.30
51,52,10.30
52,53,10.30
53,54,10.30
54,55,10.30
55,56,10.30
56,57,10.30
57,58,10.30
58,59,10.30
59,60,10.30
60,61,10.30
61,62,10.30
62,63,10.30
63,64,10.30
64,65,10.30
65,66,10.30
66,67,10.30
67,68,10.30
68,69,10.30
69,70,10.30
70,71,10.30
71,72,10.30
72,73,10.30
73,74,10.30
74,75,10.30
75,76,10.30
76,77,10.30
77,78,10.30
78,79,10.30
79,80,10.30
80,81,10.30
81,82,10.30
82,83,10.30
83,84,10.30
84,85,10.30
85,86,10.30
86,87,10.30
87,88,10.30
88,89,10.30
89,90,10.30
90,91,10.30
91,92,10.30
92,93,10.30
93,94,10.30
94,95,10.30
95,96,10.30
96,97,10.30
97,98,10.30
98,99,10.30
99,100,10.30
100,101,10.30
101,102,10.30
102,103,10.30
103,104,10.30
104,105,10.30
105,106,10.30
106,107,10.30
107,108,10.30
108,109,10.30
109,110,10.30
110,111,10.30
111,112,10.30
112,113,10.30
113,114,10.30
114,115,10.30
115,116,10.30
116,117,10.30
117,118,10.30
118,119,10.30
119,120,10.30
120,121,10.30
121,122,10.30
122,123,10.30
123,124,10.30
124,125,10.30
125,126,10.30
126,127,10.30
127,128,10.30
128,129,10.30
129,130,10.30
130,131,10.30
131,132,10.30
132,133,10.30
133,134,10.30
134,135,10.30
135,136,10.30
136,137,10.30
137,138,10.30
138,139,10.30
139,140,10.30
140,141,10.30
141,142,10.30
142,143,10.30
143,144,10.30
144,145,10.30
145,146,10.30
146,147,10.30
147,148,10.30
148,149,10.30
149,150,10.30
150,151,10.30
151,152,10.30
152,153,10.30
153,154,10.30
154,155,10.30
155,156,10.30
156,157,10.30
157,158,10.30
158,159,10.30
159,160,10.30
160,161,10.30
161,162,10.30
162,163,10.30
163,164,10.30
164,165,10.30
165,166,10.30
166,167,10.30
167,168,10.30
168,169,10.30
169,170,10.30
170,171,10.30
171,172,10.30
172,173,10.30
173,174,10.30
174,175,10.30
175,176,10.30
176,177,10.30
177,178,10.30
178,179,10.30
179,180,10.30
180,181,10.30
181,182,10.30
182,183,10.30
183,184,10.30
184,185,10.30
185,186,10.30
186,187,10.30
187,188,10.30
188,189,10.30
189,190,10.30
190,191,10.30
191,192,10.30
192,193,10.30
193,194,10.30
194,195,10.30
195,196,10.30
196,197,10.30
197,198,10.30
198,199,10.30
199,200,10.30
200,201,10.30
201,202,10.30
202,203,10.30
203,204,10.30
204,205,10.30
205,206,10.30
206,207,10.30
207,208,10.30
208,209,10.30
209,210,10.30
210,211,10.30
211,212,10.30
212,213,10.30
213,214,10.30
214,215,10.30
215,216,10.30
216,217,10.30
217,218,10.30
218,219,10.30
219,220,10.30
220,221,10.30
221,222,10.30
222,223,10.30
223,224,10.30
224,225,10.30
225,226,10.30
226,227,10.30
227,228,10.30
228,229,10.30
229,230,10.30
230,231,10.30
231,232,10.30
232,233,10.30
233,234,10.30
