,buyer,seller,price
0,-340196.179444,1043.910292,10.480992
1,-226513.049915,2329.441849,10.296467
2,-229765.970756,2408.219714,10.277000
3,-212729.801669,2171.681274,10.106214
4,-338351.795453,834.301809,10.340577
5,-306333.330514,1611.261889,10.319579
6,-252212.793684,2592.326986,10.241320
7,-243786.355086,2361.814337,10.322634
8,-208976.258354,2088.248099,10.198427
9,-295516.414742,775.640317,10.430480
10,-293579.370133,1087.402837,10.411107
11,-208926.747195,2001.346055,10.299862
12,-260903.836158,1159.615142,10.431537
13,-272798.404009,1073.091522,10.470140
14,-197099.483562,1965.303275,10.253297
15,-193175.758317,1960.248948,10.268231
16,-205046.607951,1926.340276,10.329155
17,-212703.273502,2042.827099,10.231710
18,-210751.875789,2095.735444,10.187085
19,-200764.784968,2094.024334,10.104887
20,-192678.613536,1960.114349,10.265594
21,-268867.349345,1127.665729,10.284286
22,-201857.892759,2095.753105,10.129259
23,-210003.866930,2341.686566,10.135890
24,-209109.313050,2207.041268,10.036275
25,-293568.985824,1241.781233,10.359761
26,-205102.815684,2140.349329,10.161973
27,-218168.602756,2479.923949,10.186199
28,-394218.512071,451.919786,10.282814
29,-219646.325530,2268.474696,10.101137
30,-196817.293147,1988.375098,10.053579
31,-189846.410052,2018.182040,10.127703
32,-190261.218576,2224.365565,9.932611
33,-186766.874254,2213.739825,9.917996
34,-236450.535424,1690.184026,10.094994
35,-190702.702721,2238.531879,10.124816
36,-202653.213004,2464.673805,9.894214
37,-196079.314684,2661.484743,9.859897
38,-197205.589118,2456.058024,9.823906
39,-189384.648199,2261.882151,9.940631
40,-166312.359537,2167.888705,9.715566
41,-188857.940613,2435.958274,9.762859
42,-184427.944979,2346.151891,9.686831
43,-180273.465522,2192.333381,9.724533
44,-161282.779064,1851.971429,9.805002
45,-157359.824080,1543.310718,9.780439
46,-124907.881498,1654.924723,9.620017
47,-187844.410169,1283.175193,9.882575
48,-123667.774709,1691.982631,9.495867
49,-133849.882348,1807.568655,9.734677
50,-121413.892478,1735.581570,9.524689
51,-141246.595800,1602.831595,9.687806
52,-118773.335526,1723.471098,9.754978
53,-109463.550863,1736.791219,9.460741
54,-155935.620340,1596.783321,9.717098
55,-169144.227494,1483.433909,9.710402
56,-120607.956443,1793.947933,9.505510
57,-129039.946705,1833.911127,9.391376
58,-120446.492370,1808.017060,9.623316
59,-232859.762287,1044.968983,9.748969
60,-132166.580502,1889.397501,9.559965
61,-142446.174137,2141.486176,9.485719
62,-121285.528987,2216.847582,9.484753
63,-134639.134106,2111.244188,9.531846
64,-139309.578766,2023.315794,9.678755
65,-134000.435548,1868.797955,9.552067
66,-141314.499684,1979.803458,9.519228
67,-137606.086288,2071.229082,9.672586
68,-172194.892825,1548.119515,9.751115
69,-108461.418056,1857.905367,9.533129
70,-131760.276597,1843.467652,9.642277
71,-121545.005695,1847.339142,9.612348
72,-112321.548409,1765.727736,9.524854
73,-179233.488594,1474.345370,9.780980
74,-131763.984701,1840.801904,9.659884
75,-120585.370492,1877.083296,9.589028
76,-123440.894806,1844.018047,9.586679
77,-135054.993596,1772.341849,9.558922
78,-143792.585795,1827.764001,9.625477
79,-142845.066443,1807.450990,9.446966
80,-120107.173518,1751.021245,9.454629
81,-119821.152562,1796.031153,9.397793
82,-123781.754149,1693.354016,9.547781
83,-127582.190680,1709.956861,9.533943
84,-132857.282864,1773.603828,9.480947
85,-123075.942912,1745.778170,9.439348
86,-141565.961319,1900.337378,9.617070
87,-126595.820569,1791.595899,9.516315
88,-133047.395399,1841.183744,9.635916
89,-129786.510453,1970.733433,9.586431
90,-112848.873448,2056.539410,9.405767
91,-125990.578926,2034.798618,9.412756
92,-130788.393539,2060.556823,9.350175
93,-137690.044986,1842.957137,9.533138
94,-114664.182479,1690.322173,9.581751
95,-132439.255620,1809.573672,9.650878
96,-122147.011668,1764.910842,9.616273
97,-120707.632483,1747.326241,9.422056
98,-123326.174263,1785.526369,9.596363
99,-131231.637576,1838.268614,9.611791
100,-118684.161696,1939.586183,9.615731
101,-141087.334437,2109.754570,9.676082
102,-161888.005787,2208.699591,9.745622
103,-129950.010097,2024.701120,9.571651
104,-146862.353811,1946.597162,9.581561
105,-125498.584631,1830.458909,9.598951
106,-118078.146285,1774.561577,9.547233
107,-117660.818249,1812.291560,9.630466
108,-162638.489796,1945.525631,9.685673
109,-141268.783400,2051.019120,9.581183
110,-122994.450098,2023.295730,9.336670
111,-156575.962088,2236.228429,9.507770
112,-152107.543815,2450.982917,9.531398
113,-250819.071450,2073.547955,9.747638
114,-188025.670164,2667.566473,9.521682
