,buyer,seller,price,amt
0,-26430.76,234780.74,9.28,25289.50
1,-11547.57,490930.79,8.68,56570.75
2,-11571.48,486813.54,8.66,56190.38
3,-11825.05,424011.04,8.74,48519.94
4,-28940.73,193052.73,9.42,20483.72
5,-20803.16,311260.96,9.11,34177.69
6,-14089.48,542925.33,8.80,61718.99
7,-13032.98,491377.72,8.88,55337.75
8,-14629.00,433215.55,8.75,49511.12
9,-23601.33,176137.68,9.34,18864.05
10,-23921.16,244557.49,9.21,26564.03
11,-9785.06,402600.55,8.71,46230.77
12,-19762.01,265675.86,9.15,29024.63
13,-24476.04,250470.35,9.42,26599.82
14,-9675.78,458010.89,8.72,52529.85
15,-9616.24,475687.82,8.94,53233.67
16,-8696.03,414633.43,8.87,46733.84
17,-7632.82,401236.25,8.80,45579.67
18,-11408.93,406676.91,8.77,46369.33
19,-9285.22,464768.49,8.69,53470.92
20,-9084.00,456231.26,8.72,52300.71
21,-22133.47,270405.32,9.27,29164.14
22,-8492.48,447868.25,8.71,51406.05
23,-9906.05,503802.44,8.68,58009.78
24,-10847.11,475877.24,8.74,54472.14
25,-25243.00,286244.47,9.26,30914.54
26,-9631.66,450538.08,8.64,52121.16
27,-12941.15,557317.28,8.89,62660.58
28,-32567.27,107405.99,9.55,11245.00
29,-9416.88,461182.93,8.65,53289.14
30,-10588.95,453666.69,8.88,51073.82
31,-9451.79,440114.80,8.73,50437.41
32,-10101.95,518049.33,8.77,59058.96
33,-11844.24,521842.74,8.66,60267.48
34,-16877.86,397624.93,9.09,43734.47
35,-10262.04,492467.51,8.65,56935.49
36,-10867.66,569356.26,8.64,65863.00
37,-9349.23,613075.88,8.76,69984.25
38,-14197.06,585975.84,8.99,65182.37
39,-13001.76,503807.83,8.98,56119.94
40,-10813.05,475223.19,8.82,53883.97
41,-11648.73,576064.08,8.66,66533.48
42,-14084.96,574014.14,8.80,65252.74
43,-10835.45,479910.94,8.65,55460.37
44,-11778.68,408019.30,8.94,45615.94
45,-10880.95,361811.67,9.07,39882.22
46,-9166.27,384798.70,9.01,42693.11
47,-17790.70,307424.47,9.22,33328.54
48,-10731.94,436134.85,8.68,50251.78
49,-10666.11,494411.60,8.70,56859.64
50,-11129.54,457990.93,8.64,52978.07
51,-15055.09,415172.88,9.04,45932.49
52,-10338.66,445173.02,8.77,50753.64
53,-10814.09,442097.98,8.67,50974.32
54,-19616.97,408751.78,9.09,44949.38
55,-16422.25,316048.00,9.05,34918.53
56,-9395.57,402865.96,8.62,46727.79
57,-8235.33,432397.79,8.64,50051.40
58,-7515.05,384735.03,8.62,44642.20
59,-22154.93,257051.50,9.34,27508.90
60,-7601.72,407697.11,8.75,46572.80
61,-9619.95,529884.71,8.90,59508.40
62,-14494.37,512313.76,8.79,58295.95
63,-9726.28,514072.15,8.67,59269.22
64,-11075.90,499985.84,8.69,57527.86
65,-8768.07,452330.14,8.68,52116.18
66,-7590.41,444508.39,8.65,51407.59
67,-10100.38,526010.23,8.75,60082.05
68,-17494.30,376375.90,9.13,41239.00
69,-11058.90,504152.19,8.60,58624.89
70,-11932.38,539832.07,8.57,63020.44
71,-10978.36,459378.30,8.57,53608.47
72,-10128.34,423577.06,8.65,48958.74
73,-19149.39,355260.63,9.11,39016.66
74,-12536.80,445674.86,8.79,50688.06
75,-8117.09,429096.39,8.57,50075.28
76,-8034.72,453535.67,8.61,52660.14
77,-12045.10,489007.21,8.94,54716.32
